last_name, first_name,year,player_age,b_ab,b_total_pa,isolated_power,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,pull_percent,opposite_percent,
Cain, Lorenzo,2017,31,584,645,.140,.126,89.1,10.1,3.5,35.1,71.8,26.3,80.3,27.8,27.2,
McCutchen, Andrew,2017,31,570,650,.207,.198,88.4,14.2,7.7,38.7,68.3,20.6,81.4,38.9,20.4,
Upton, Justin,2017,30,557,635,.268,.250,88.7,15.7,13.2,40.7,64.8,24.1,79.0,36.5,25.7,
Turner, Justin,2017,33,457,543,.208,.248,89.3,18.3,8.6,38.3,67.6,21.5,76.7,34.2,26.2,
Posey, Buster,2017,30,494,568,.142,.164,88.7,11.6,3.5,34.5,66.2,23.3,80.1,34.4,24.0,
Bruce, Jay,2017,30,555,617,.254,.246,88.4,18.2,10.7,38.5,72.8,29.5,84.3,43.4,20.3,
Votto, Joey,2017,34,559,707,.258,.259,87.6,14.0,9.1,32.8,70.3,13.3,86.2,33.6,30.3,
Gardner, Brett,2017,34,594,682,.163,.132,85.4,9.2,3.8,30.8,52.0,21.4,57.3,30.8,27.1,
Joyce, Matt,2017,33,469,544,.230,.224,88.1,15.2,8.8,34.4,66.6,18.9,83.3,39.1,24.0,
Gordon, Alex,2017,33,476,541,.107,.136,85.8,13.2,4.5,31.2,69.6,25.2,76.8,40.2,22.2,
Andrus, Elvis,2017,29,643,689,.174,.139,86.4,7.5,4.2,31.1,62.9,31.6,69.9,37.1,19.2,
Cabrera, Melky,2017,33,620,666,.137,.130,88.2,8.7,3.8,35.0,63.3,30.8,63.8,35.0,25.1,
Santana, Carlos,2017,31,571,667,.196,.201,88.4,12.7,7.5,38.6,61.0,19.7,76.6,43.8,17.3,
Gonzalez, Carlos,2017,32,470,534,.162,.130,87.4,6.1,5.9,36.7,71.3,31.7,76.2,33.6,19.0,
Mercer, Jordy,2017,31,502,558,.151,.119,85.7,9.2,3.1,32.2,61.1,23.7,71.8,36.8,21.6,
Alonso, Yonder,2017,30,451,521,.235,.238,89.2,19.4,9.9,40.8,72.3,25.8,83.2,38.1,25.2,
Smoak, Justin,2017,31,560,637,.259,.292,89.7,17.0,13.6,42.7,65.7,24.0,73.3,35.5,24.0,
Zimmerman, Ryan,2017,33,524,576,.269,.271,91.4,8.5,12.7,48.7,61.7,29.3,68.2,30.0,28.8,
Lowrie, Jed,2017,33,567,645,.171,.193,88.8,18.6,6.0,37.1,74.4,22.0,89.4,36.2,28.1,
Morrison, Logan,2017,30,512,601,.270,.256,88.6,17.6,12.8,42.5,69.5,25.0,81.4,42.6,18.0,
Gurriel, Yuli,2017,33,529,564,.187,.150,89.8,10.3,3.4,43.1,69.0,30.3,72.6,35.1,21.8,
Solarte, Yangervis,2017,30,466,512,.161,.135,85.5,14.5,3.9,27.5,71.8,33.6,81.6,36.9,22.5,
Freese, David,2017,34,426,503,.108,.137,89.0,3.0,6.4,42.9,61.7,24.1,73.0,19.4,32.5,
Davis, Khris,2017,30,566,652,.281,.316,92.2,14.2,17.7,51.9,75.0,21.7,89.7,30.4,26.5,
Pham, Tommy,2017,29,444,530,.214,.198,89.2,6.5,9.3,43.1,59.5,16.1,70.6,26.8,26.5,
Reddick, Josh,2017,30,477,540,.170,.149,87.2,17.5,3.8,31.3,64.2,27.6,74.5,34.2,29.9,
Murphy, Daniel,2017,32,534,593,.221,.192,89.6,17.3,4.8,41.6,66.6,30.5,75.4,37.6,25.0,
Goldschmidt, Paul,2017,30,558,665,.265,.273,91.4,11.6,13.3,47.3,62.1,22.9,73.8,35.4,23.4,
Gonzalez, Marwin,2017,28,455,515,.226,.160,87.5,10.9,6.6,36.3,61.2,26.5,65.4,35.5,25.2,
Altuve, Jose,2017,27,590,662,.202,.185,85.5,9.1,6.7,27.6,67.5,31.7,71.5,36.2,25.6,
Hernandez, Cesar,2017,27,511,577,.127,.118,84.3,3.3,2.9,29.7,60.3,20.1,70.3,30.9,26.2,
Segura, Jean,2017,27,524,566,.128,.127,87.4,6.6,3.2,34.2,66.4,31.7,80.0,26.0,28.3,
Freeman, Freddie,2017,28,440,514,.280,.299,89.6,15.8,13.3,42.1,82.1,29.0,88.6,34.0,28.8,
LeMahieu, DJ,2017,29,609,682,.099,.096,88.8,2.8,1.9,41.2,58.4,22.1,70.1,18.2,39.1,
Moreland, Mitch,2017,32,508,576,.197,.257,89.1,11.5,12.0,36.3,69.2,27.3,81.3,32.6,25.2,
Moustakas, Mike,2017,29,555,598,.249,.221,87.3,18.3,8.6,33.5,75.6,39.0,85.8,41.8,21.8,
Rizzo, Anthony,2017,28,572,691,.234,.233,88.1,15.3,9.3,38.7,66.7,27.8,72.4,42.0,20.8,
Souza Jr., Steven,2017,28,523,617,.220,.208,88.0,10.9,11.5,37.9,69.1,21.3,85.5,43.8,20.2,
Stanton, Giancarlo,2017,28,597,692,.350,.306,91.9,11.1,17.4,45.4,66.4,24.4,75.1,38.7,20.1,
Thames, Eric,2017,31,469,551,.271,.225,88.1,12.7,11.1,38.9,66.7,23.9,79.9,37.3,26.8,
Galvis, Freddy,2017,28,608,663,.127,.120,85.1,14.0,2.4,23.3,66.7,31.6,75.1,33.8,31.6,
Garcia, Avisail,2017,26,518,561,.176,.211,90.3,7.5,8.8,40.8,83.4,37.7,91.0,34.8,21.8,
Inciarte, Ender,2017,27,662,718,.106,.080,81.2,8.6,0.5,12.9,70.0,35.0,78.8,26.3,31.1,
Ozuna, Marcell,2017,27,613,679,.237,.228,90.7,10.1,9.3,45.2,72.7,30.0,76.9,33.1,23.4,
Beckham, Tim,2017,27,533,575,.176,.186,87.8,8.4,9.5,39.8,70.9,30.3,80.7,39.4,22.0,
Crawford, Brandon,2017,30,518,570,.151,.160,87.4,11.4,6.0,33.5,76.0,28.5,84.9,34.1,28.0,
Harrison, Josh,2017,30,486,542,.160,.140,84.1,15.7,2.7,23.9,72.6,32.6,82.4,40.9,23.7,
Hosmer, Eric,2017,28,603,671,.179,.164,89.7,3.8,7.0,39.0,69.6,26.9,82.1,26.5,33.5,
Rendon, Anthony,2017,27,508,605,.232,.205,89.8,18.0,6.5,37.9,61.7,18.7,72.0,37.7,28.9,
Shaw, Travis,2017,27,538,606,.240,.186,88.3,14.6,7.2,38.9,66.5,27.4,73.7,37.1,25.7,
Springer, George,2017,28,548,629,.239,.235,89.3,9.4,9.3,42.6,68.0,22.1,86.8,34.0,26.5,
Gordon, Dee,2017,29,653,695,.067,.048,79.3,0.2,0.2,11.0,67.4,34.8,73.8,21.7,31.8,
Gregorius, Didi,2017,27,534,570,.191,.123,84.4,17.4,3.6,20.8,81.4,37.8,82.7,36.1,22.1,
Trout, Mike,2017,26,402,507,.323,.294,88.8,18.0,13.3,39.2,58.9,18.8,75.5,37.0,23.7,
Herrera, Odubel,2017,26,526,563,.171,.145,86.5,8.9,6.2,32.1,70.7,38.0,74.1,29.1,31.8,
Abreu, Jose,2017,30,621,675,.248,.230,90.5,11.3,9.5,45.0,67.4,30.4,67.0,35.0,27.1,
Suarez, Eugenio,2017,26,534,632,.200,.180,86.2,14.7,6.9,32.0,64.3,21.6,72.4,39.5,26.3,
Santana, Domingo,2017,25,525,607,.227,.198,89.3,10.5,9.7,40.0,70.4,24.2,83.4,33.4,28.0,
Sanchez, Yolmer,2017,25,484,534,.147,.112,83.8,9.3,3.4,24.5,67.1,32.7,70.7,29.4,29.4,
Schoop, Jonathan,2017,26,622,675,.211,.167,87.7,12.9,6.8,36.1,75.2,32.9,85.6,39.6,20.1,
Arenado, Nolan,2017,26,606,680,.277,.243,88.8,17.3,8.5,37.5,71.1,28.0,75.6,33.1,27.6,
Hamilton, Billy,2017,27,582,633,.088,.044,78.6,8.3,0.4,11.2,63.3,26.3,70.9,34.2,25.2,
Joseph, Tommy,2017,26,495,533,.192,.164,89.1,14.0,7.3,40.3,67.6,34.4,72.8,39.3,22.0,
Lamb, Jake,2017,27,536,635,.239,.209,88.3,12.2,9.3,36.3,60.4,20.4,69.1,39.1,24.4,
Myers, Wil,2017,27,567,649,.220,.200,89.1,15.3,9.1,44.6,64.8,25.1,73.9,38.6,20.3,
Seager, Kyle,2017,30,578,650,.201,.221,87.8,20.2,8.6,33.7,62.2,23.4,69.8,37.6,23.8,
Carpenter, Matt,2017,32,497,622,.209,.229,88.9,21.4,8.2,37.0,55.0,14.0,70.8,45.9,22.7,
Dickerson, Corey,2017,28,588,629,.207,.184,87.2,13.8,7.5,31.2,78.6,42.7,88.6,30.4,28.8,
Dozier, Brian,2017,30,617,705,.227,.227,87.5,16.5,8.4,34.4,59.2,25.6,71.6,44.6,16.5,
Bryant, Kris,2017,25,549,665,.242,.234,87.1,16.9,9.6,36.4,71.0,24.3,85.2,36.1,22.2,
Castellanos, Nicholas,2017,25,614,665,.218,.252,89.1,14.1,10.7,41.8,73.1,31.8,77.6,34.8,25.6,
Gamel, Ben,2017,25,509,550,.138,.123,86.2,10.7,4.1,29.2,62.2,26.5,71.5,32.7,29.9,
Healy, Ryon,2017,25,576,605,.181,.193,88.2,12.6,7.6,40.3,62.0,33.8,64.7,35.8,23.6,
Judge, Aaron,2017,25,542,678,.343,.364,94.9,15.8,25.7,54.7,66.1,22.8,83.7,39.1,26.3,
Machado, Manny,2017,25,630,690,.213,.235,90.9,13.4,10.5,47.3,71.6,29.5,84.2,37.6,23.9,
Realmuto, J.T.,2017,26,532,579,.173,.162,88.2,9.9,6.3,35.6,67.0,28.3,70.7,39.9,18.6,
Rosario, Eddie,2017,26,542,589,.218,.208,86.6,12.7,7.4,31.7,75.2,36.7,86.7,32.1,24.3,
Simmons, Andrelton,2017,28,589,647,.143,.115,85.9,7.6,2.5,28.7,66.0,26.3,81.4,38.1,21.9,
Yelich, Christian,2017,26,602,695,.156,.166,90.4,4.7,7.0,46.1,64.0,23.0,77.8,27.0,28.7,
Merrifield, Whit,2017,28,587,630,.172,.177,87.0,15.8,5.1,29.4,68.2,32.0,74.2,30.6,31.4,
Bogaerts, Xander,2017,25,571,635,.130,.085,87.3,8.2,1.3,30.2,54.9,29.2,60.8,31.7,24.1,
Polanco, Jorge,2017,24,488,544,.154,.119,83.6,14.8,2.6,25.3,61.4,23.5,69.7,39.7,22.5,
Calhoun, Kole,2017,30,569,654,.148,.160,88.2,12.1,5.4,35.0,70.5,28.8,85.4,41.0,23.1,
Duvall, Adam,2017,29,587,647,.232,.197,87.3,21.2,8.9,32.6,66.5,31.4,73.8,42.8,25.5,
Schebler, Scott,2017,27,473,531,.252,.229,88.8,11.3,10.2,40.8,75.9,32.6,87.2,39.7,21.2,
Baez, Javier,2017,25,469,508,.207,.185,86.9,9.2,8.4,34.7,72.8,42.7,88.7,35.4,22.5,
Lindor, Francisco,2017,24,651,723,.232,.221,88.3,13.6,7.2,35.6,67.6,28.7,72.5,36.9,26.1,
Odor, Rougned,2017,23,607,651,.193,.173,88.4,15.2,6.0,36.4,71.6,37.0,79.1,45.7,18.7,
Story, Trevor,2017,25,503,555,.219,.187,88.9,18.8,10.5,38.3,68.9,26.7,77.0,33.9,24.0,
Sanchez, Gary,2017,25,471,525,.253,.251,90.8,13.2,11.8,42.9,66.1,32.5,68.1,44.8,15.2,
Kepler, Max,2017,24,511,568,.182,.129,88.3,12.7,4.0,36.7,60.4,26.8,63.2,39.9,24.4,
Franco, Maikel,2017,25,575,623,.179,.151,88.9,11.4,6.0,36.2,74.8,28.2,87.8,40.4,22.5,
Bradley Jr., Jackie,2017,27,482,541,.158,.167,88.1,9.4,7.5,39.4,67.1,25.8,80.7,32.2,24.2,
Bell, Josh,2017,25,549,620,.211,.171,87.7,8.6,6.7,34.1,66.8,24.1,81.9,36.5,28.9,
Betts, Mookie,2017,25,628,712,.194,.161,88.4,14.1,4.5,37.9,53.3,19.3,60.1,38.3,19.5,
Panik, Joe,2017,27,511,573,.133,.116,84.5,11.3,2.6,23.8,64.2,23.3,80.1,34.2,28.0,
Arcia, Orlando,2017,23,506,548,.130,.111,85.3,6.2,4.1,27.6,74.3,34.5,78.5,28.2,25.5,
Peraza, Jose,2017,23,487,518,.066,.076,81.9,9.9,1.7,20.0,67.7,33.8,73.0,29.5,27.8,
Pillar, Kevin,2017,28,587,632,.148,.129,85.5,12.8,3.4,28.4,67.4,36.9,72.6,37.8,24.5,
Ramirez, Jose,2017,25,585,645,.265,.182,88.0,14.8,5.0,34.7,65.9,23.1,77.1,42.8,21.7,
Bregman, Alex,2017,23,556,626,.191,.167,87.4,16.2,4.7,33.8,65.9,24.1,78.7,39.8,21.2,
Gallo, Joey,2017,24,449,532,.327,.331,93.1,22.7,22.1,52.2,72.7,28.2,88.5,50.2,20.2,
Seager, Corey,2017,23,539,613,.184,.220,89.7,11.1,8.5,43.8,78.4,25.6,92.1,31.9,28.7,
Mazara, Nomar,2017,22,554,616,.170,.172,89.0,11.3,6.5,36.8,65.2,31.0,73.9,31.4,25.8,
Swanson, Dansby,2017,23,488,551,.092,.095,86.8,8.4,3.0,31.8,66.2,24.7,79.4,37.9,25.3,
Taylor, Chris,2017,27,514,568,.208,.177,86.8,11.8,7.8,33.6,68.2,21.9,82.2,33.5,27.3,
Buxton, Byron,2017,24,462,511,.160,.145,85.0,11.8,5.6,32.3,64.6,31.3,74.0,42.9,17.6,
Margot, Manuel,2017,23,487,529,.146,.108,84.5,10.1,2.6,29.3,62.9,26.8,74.5,22.5,32.9,
Puig, Yasiel,2017,27,499,570,.224,.216,88.4,10.6,9.4,36.8,69.5,26.2,85.1,40.6,23.8,
Anderson, Tim,2017,24,587,606,.145,.136,85.0,7.1,5.1,30.4,70.1,39.8,79.4,37.4,22.2,
Bellinger, Cody,2017,22,480,548,.315,.278,89.6,16.5,12.2,45.7,67.7,23.2,78.7,38.6,22.3,
Mancini, Trey,2017,25,543,586,.195,.214,88.6,7.2,9.8,40.1,73.4,31.2,83.2,31.6,27.2,
Benintendi, Andrew,2017,23,573,658,.154,.167,87.1,14.2,5.5,33.2,65.0,25.2,77.5,28.7,27.9,
Hunter, Torii,2015,40,521,567,.169,.139,88.1,10.1,5.0,34.7,72.3,34.1,80.4,34.4,24.5,
Ortiz, David,2015,40,528,614,.280,.312,92.9,15.6,13.1,48.9,70.5,26.5,76.9,41.9,21.7,
Rodriguez, Alex,2015,40,523,620,.235,.243,91.3,12.1,10.9,43.4,67.3,24.3,75.3,38.4,17.4,
Ramirez, Aramis,2015,37,475,516,.177,.162,87.4,15.8,5.6,34.2,73.5,34.4,78.2,36.9,24.8,
Beltre, Adrian,2015,36,567,619,.166,.186,89.5,12.8,5.5,40.2,62.1,35.4,64.7,35.3,23.3,
Beltran, Carlos,2015,38,478,531,.195,.171,90.6,15.4,5.8,41.6,65.4,28.8,80.0,41.4,20.1,
Rollins, Jimmy,2015,37,517,563,.133,.100,84.5,14.8,2.5,23.1,65.6,24.7,79.3,46.0,21.2,
Pujols, Albert,2015,35,602,661,.236,.213,90.6,13.8,7.9,38.3,62.9,29.3,67.5,43.5,19.5,
Byrd, Marlon,2015,38,506,544,.206,.188,86.4,11.8,8.5,30.6,81.4,41.9,84.6,36.6,27.6,
Mauer, Joe,2015,32,592,666,.115,.146,89.0,3.7,3.7,39.9,57.2,25.3,67.2,28.2,32.1,
Cabrera, Miguel,2015,32,429,511,.196,.268,93.6,12.3,10.6,53.0,68.2,27.2,78.1,33.2,32.4,
Gonzalez, Adrian,2015,33,571,643,.205,.217,88.6,14.0,8.1,36.8,73.5,32.2,83.1,37.0,28.3,
Phillips, Brandon,2015,34,588,623,.100,.095,86.0,10.2,2.3,25.8,73.8,35.2,74.6,32.4,30.5,
Reyes, Jose,2015,32,481,519,.104,.052,83.1,11.5,0.2,18.6,66.3,35.4,69.0,39.4,20.2,
Peralta, Jhonny,2015,33,579,640,.136,.158,88.1,12.9,5.1,33.5,74.4,28.8,82.4,39.7,23.0,
Choo, Shin-Soo,2015,33,555,653,.187,.191,90.4,7.3,8.7,44.1,62.7,22.6,74.0,41.2,21.7,
Molina, Yadier,2015,33,488,530,.080,.088,86.3,10.0,2.3,25.3,73.9,33.9,82.3,33.0,29.8,
Fielder, Prince,2015,31,613,693,.158,.177,90.8,9.8,6.4,44.3,70.4,32.2,77.5,32.1,27.9,
Cano, Robinson,2015,33,624,674,.159,.175,91.0,5.6,7.1,45.5,71.5,31.7,79.1,33.0,22.8,
Encarnacion, Edwin,2015,32,528,624,.280,.263,90.2,16.8,10.7,44.3,64.4,23.2,81.1,46.1,18.4,
Howard, Ryan,2015,36,467,503,.214,.245,91.2,14.6,11.7,45.5,76.2,37.2,86.4,46.4,19.6,
Bautista, Jose,2015,35,543,666,.285,.249,92.0,16.7,12.6,45.6,61.6,19.6,65.5,49.2,18.4,
Jones, Adam,2015,30,546,581,.205,.206,87.9,11.2,9.2,34.7,80.3,43.7,85.0,42.1,20.4,
Aybar, Erick,2015,31,597,638,.069,.069,83.1,4.1,0.9,19.0,66.6,37.7,68.6,36.4,21.6,
Martin, Russell,2015,32,441,507,.218,.175,88.7,9.0,8.2,39.4,59.2,20.6,75.3,32.9,27.9,
Granderson, Curtis,2015,34,580,682,.198,.200,89.3,18.1,8.3,40.2,58.4,19.2,62.1,45.3,21.5,
Pagan, Angel,2015,34,512,551,.070,.077,86.3,11.1,0.9,22.1,60.5,23.5,65.0,30.4,28.2,
Morales, Kendrys,2015,32,569,639,.195,.215,91.8,10.1,8.9,47.7,71.0,30.2,77.6,37.2,23.8,
Kinsler, Ian,2015,33,624,675,.131,.111,85.6,17.4,2.9,26.2,67.0,25.9,78.5,40.6,25.7,
McCann, Brian,2015,31,465,535,.204,.165,89.0,17.1,5.6,36.0,56.2,30.1,66.9,46.7,18.7,
Walker, Neil,2015,30,543,603,.158,.163,88.7,13.8,4.8,37.4,71.8,30.5,79.7,37.0,24.5,
Desmond, Ian,2015,30,583,641,.151,.142,89.6,5.1,7.1,40.9,67.3,32.8,77.7,31.8,27.6,
Cruz, Nelson,2015,35,590,655,.264,.251,92.4,9.6,14.1,47.1,69.7,30.8,72.8,34.7,25.5,
Trumbo, Mark,2015,29,508,545,.187,.186,91.9,13.0,9.8,42.7,69.6,36.0,78.8,33.7,30.0,
Peralta, David,2015,28,462,517,.210,.165,91.3,5.9,7.7,42.5,67.1,30.9,78.4,38.4,20.7,
Escobar, Alcides,2015,29,612,662,.064,.062,83.5,8.3,0.9,16.1,67.3,34.7,72.6,28.6,29.8,
Prado, Martin,2015,32,500,551,.106,.096,88.9,8.8,2.3,33.3,51.8,25.2,57.1,29.3,27.9,
Duda, Lucas,2015,29,471,554,.242,.245,91.7,19.7,11.6,42.0,62.9,27.3,76.2,37.8,25.9,
Longoria, Evan,2015,30,604,670,.166,.201,89.6,15.4,8.5,39.4,65.0,29.5,74.2,37.7,25.6,
Davis, Chris,2015,29,573,670,.300,.326,91.8,17.3,17.6,46.2,69.9,28.6,81.0,54.9,17.3,
Zobrist, Ben,2015,34,467,535,.173,.123,88.5,8.2,3.8,34.6,55.1,21.2,65.9,43.8,23.8,
Fowler, Dexter,2015,29,596,690,.161,.114,86.4,11.8,4.7,29.8,66.7,18.7,80.0,40.5,24.4,
Headley, Chase,2015,31,580,642,.110,.137,86.6,11.8,5.1,32.5,64.6,22.7,79.3,42.1,20.0,
Lind, Adam,2015,32,502,572,.183,.171,89.5,11.0,7.2,35.8,60.8,32.2,65.6,33.1,26.9,
Cabrera, Asdrubal,2015,30,505,551,.164,.155,87.3,16.2,5.4,32.3,72.5,36.8,79.3,45.4,24.2,
Tulowitzki, Troy,2015,31,486,534,.160,.156,89.8,12.6,5.3,40.7,62.9,28.4,74.4,46.5,20.2,
Blackmon, Charlie,2015,29,614,682,.163,.125,85.5,13.5,3.9,28.8,58.7,27.3,63.5,42.3,22.3,
Frazier, Todd,2015,29,619,678,.242,.211,89.2,18.4,9.2,38.6,73.5,34.7,81.3,43.1,21.2,
Markakis, Nick,2015,32,612,686,.080,.075,88.3,6.8,0.8,33.6,60.3,25.6,69.4,27.9,31.3,
Butler, Billy,2015,29,538,601,.139,.190,89.3,8.9,7.5,40.1,60.4,28.9,73.2,34.7,31.3,
Cain, Lorenzo,2015,29,551,604,.171,.164,90.0,9.5,5.5,38.1,67.4,32.6,72.8,32.2,28.4,
McCutchen, Andrew,2015,29,566,685,.196,.232,90.7,13.9,9.3,44.1,68.1,21.4,84.5,36.7,23.1,
Jackson, Austin,2015,28,491,527,.118,.113,88.7,6.8,3.8,39.8,61.7,24.6,68.6,29.8,26.6,
Upton, Justin,2015,28,542,620,.203,.203,90.0,16.1,10.8,39.2,67.0,22.7,77.3,36.3,24.0,
Maybin, Cameron,2015,28,505,555,.103,.090,87.7,1.9,2.7,35.6,60.6,25.5,74.4,33.2,28.0,
Posey, Buster,2015,28,557,623,.153,.187,89.0,10.9,6.3,37.1,69.7,26.9,82.0,34.6,28.9,
Bruce, Jay,2015,28,580,649,.209,.203,89.6,15.0,8.6,37.4,73.2,30.6,80.2,43.5,24.1,
Votto, Joey,2015,32,545,695,.228,.249,89.6,10.7,10.9,42.0,61.2,16.5,71.7,33.3,26.9,
Coghlan, Chris,2015,30,440,503,.193,.159,87.9,10.4,5.7,33.0,66.8,21.3,77.9,40.2,27.0,
Gardner, Brett,2015,32,571,656,.140,.135,86.8,8.9,4.5,34.5,54.4,21.5,59.1,32.0,31.1,
Braun, Ryan,2015,32,506,568,.213,.218,92.1,7.5,10.7,45.4,68.9,35.7,76.0,30.7,28.4,
Moss, Brandon,2015,32,469,526,.181,.232,89.0,19.4,12.0,39.8,70.9,30.9,85.8,45.7,20.4,
Kemp, Matt,2015,31,596,648,.178,.195,89.5,11.8,8.3,40.3,69.7,34.6,81.6,38.9,21.9,
Plouffe, Trevor,2015,29,573,632,.190,.190,89.4,13.1,7.9,39.4,64.3,24.3,72.4,39.4,22.7,
Andrus, Elvis,2015,27,596,661,.099,.081,85.3,8.1,1.5,27.1,58.2,24.9,67.0,40.0,25.8,
Cervelli, Francisco,2015,29,451,510,.106,.133,87.5,6.1,4.1,35.4,62.1,19.1,70.8,33.4,27.6,
Cabrera, Melky,2015,31,629,683,.121,.093,89.4,9.5,2.4,36.0,61.8,32.9,67.2,34.5,28.2,
Sandoval, Pablo,2015,29,470,505,.121,.122,88.0,9.5,4.8,33.8,74.5,46.9,75.6,30.0,29.0,
Ramos, Wilson,2015,28,475,504,.128,.163,90.5,4.5,6.5,44.2,72.6,33.8,86.8,32.2,25.9,
Santana, Carlos,2015,29,550,666,.164,.162,89.0,12.3,7.2,39.7,57.1,18.9,68.9,49.7,17.6,
Parra, Gerardo,2015,28,547,589,.161,.128,86.9,8.2,3.2,29.7,72.5,37.9,83.2,36.0,25.9,
Gonzalez, Carlos,2015,30,554,608,.269,.209,89.8,8.2,11.0,38.3,77.1,36.0,86.8,36.9,23.1,
Belt, Brandon,2015,27,492,556,.197,.226,89.5,15.3,10.0,42.1,81.0,25.5,93.7,35.8,27.8,
Brantley, Michael,2015,28,529,596,.170,.130,88.7,8.8,3.9,36.0,63.6,22.0,75.0,40.2,25.9,
Escobar, Yunel,2015,33,535,591,.101,.119,89.5,3.9,3.4,36.1,72.5,26.4,82.2,33.8,26.1,
Morrison, Logan,2015,28,457,511,.158,.168,89.1,10.6,6.9,37.5,69.2,28.6,80.5,37.5,23.5,
Cespedes, Yoenis,2015,30,633,676,.251,.245,92.0,12.2,11.3,45.0,62.4,36.5,76.5,39.6,20.7,
Ramirez, Alexei,2015,34,583,622,.108,.076,84.6,8.4,1.5,22.0,66.0,31.3,79.4,35.6,20.1,
Solarte, Yangervis,2015,28,526,571,.158,.110,87.7,11.4,2.1,31.2,67.5,30.6,73.9,42.1,19.4,
Martinez, J.D.,2015,28,596,657,.253,.310,91.2,16.0,17.6,48.5,74.1,33.3,83.9,38.7,24.5,
Reddick, Josh,2015,28,526,582,.177,.146,88.4,14.7,5.0,33.0,64.7,26.7,69.8,35.6,28.9,
Murphy, Daniel,2015,30,499,538,.168,.173,90.0,12.2,5.1,38.3,70.1,31.5,71.5,37.3,27.6,
Goldschmidt, Paul,2015,28,567,695,.249,.271,92.0,13.0,12.5,46.1,59.2,20.3,71.5,28.8,30.3,
Altuve, Jose,2015,25,638,689,.146,.116,85.8,10.5,3.1,28.8,70.5,34.1,80.4,39.8,19.3,
Segura, Jean,2015,25,560,584,.079,.072,86.5,4.0,1.3,26.3,69.2,36.3,76.9,22.9,36.7,
Castro, Starlin,2015,25,547,578,.110,.122,86.2,6.9,4.3,28.0,64.8,32.7,72.4,35.6,20.6,
Marte, Starling,2015,27,579,633,.157,.172,86.4,4.7,6.9,35.3,75.2,38.1,84.3,39.9,22.6,
Donaldson, Josh,2015,30,620,711,.271,.261,92.1,10.0,12.2,46.3,68.8,23.0,82.2,34.7,23.6,
Heyward, Jason,2015,26,547,610,.146,.108,89.2,4.6,2.8,35.0,61.0,24.0,61.0,39.8,24.3,
LeMahieu, DJ,2015,27,564,620,.087,.103,90.0,2.8,2.2,39.6,61.9,23.3,71.7,19.0,39.4,
Moreland, Mitch,2015,30,471,515,.204,.232,91.4,11.5,10.7,45.3,66.8,29.7,71.2,40.9,23.4,
Moustakas, Mike,2015,27,549,614,.186,.172,88.6,14.2,6.6,36.5,64.3,31.3,70.6,38.0,27.8,
Norris, Derek,2015,26,515,557,.153,.102,87.1,14.1,2.3,34.8,62.3,24.5,70.7,41.6,21.8,
Revere, Ben,2015,27,592,634,.071,.054,82.1,3.9,0.0,14.2,56.8,28.3,56.0,34.3,24.4,
Rizzo, Anthony,2015,26,586,701,.234,.221,88.4,17.3,8.0,38.1,67.0,31.0,77.9,40.6,22.7,
Vogt, Stephen,2015,31,445,511,.182,.148,86.9,16.1,5.6,30.3,56.8,29.0,63.8,39.0,26.4,
Galvis, Freddy,2015,26,559,603,.081,.093,84.2,11.4,2.4,22.1,63.1,38.9,70.2,33.4,28.5,
Perez, Salvador,2015,25,531,553,.166,.143,87.3,13.4,5.3,32.2,67.6,41.7,68.1,42.7,20.7,
Forsythe, Logan,2015,28,540,615,.163,.136,88.2,15.1,3.4,31.5,57.0,22.4,66.7,36.6,24.6,
Flores, Wilmer,2015,24,483,510,.145,.107,86.3,13.8,2.1,25.5,66.1,29.0,73.3,34.9,25.7,
Garcia, Avisail,2015,24,553,601,.108,.130,88.5,6.3,4.8,37.5,78.9,42.7,82.7,31.0,24.0,
Inciarte, Ender,2015,25,524,561,.105,.067,84.2,5.5,1.1,19.5,59.4,33.4,65.2,31.3,31.3,
Burns, Billy,2015,26,520,555,.098,.043,82.2,7.0,0.5,14.0,78.6,36.4,89.0,27.4,35.1,
Crawford, Brandon,2015,28,507,561,.205,.220,89.7,8.2,8.9,42.9,74.7,32.1,83.6,37.0,23.7,
Giavotella, Johnny,2015,28,453,502,.104,.073,84.6,8.8,1.0,19.6,62.2,26.1,73.7,33.5,25.2,
Gose, Anthony,2015,25,485,535,.113,.079,85.8,4.9,2.3,30.1,68.6,29.3,71.2,29.8,34.5,
Hosmer, Eric,2015,26,599,667,.162,.175,89.0,5.5,7.3,40.8,64.0,30.9,68.7,34.7,27.5,
Kipnis, Jason,2015,28,565,641,.149,.138,88.7,8.2,3.0,38.0,60.9,25.2,66.5,33.5,28.6,
Lawrie, Brett,2015,25,562,602,.148,.141,89.6,7.1,4.7,39.1,62.6,34.8,70.2,32.0,25.4,
Semien, Marcus,2015,25,556,601,.147,.138,87.0,13.4,4.5,28.9,61.4,24.0,75.4,38.3,25.4,
Gordon, Dee,2015,27,615,653,.085,.062,81.5,-0.7,1.1,17.0,63.1,36.3,68.1,25.2,31.6,
Wong, Kolten,2015,25,557,613,.124,.105,87.1,11.3,3.2,34.3,72.3,32.5,79.8,37.0,22.9,
