last_name, first_name,year,player_age,b_ab,b_total_pa,isolated_power,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,pull_percent,opposite_percent,
Upton, Justin,2018,31,533,613,.206,.213,90.7,11.8,14.0,47.4,64.8,20.9,73.7,42.1,20.7,
Votto, Joey,2018,35,503,623,.135,.189,88.1,13.3,6.7,34.9,66.8,13.1,83.8,33.3,30.4,
Gardner, Brett,2018,35,530,609,.132,.102,87.3,8.4,2.8,32.9,52.8,20.5,55.6,31.5,26.2,
Gordon, Alex,2018,34,506,568,.125,.174,88.5,10.9,6.8,39.4,65.1,28.1,75.3,39.2,24.8,
Kemp, Matt,2018,34,462,506,.190,.248,89.6,15.8,11.3,39.1,72.8,31.3,79.2,40.4,22.3,
Santana, Carlos,2018,32,560,679,.186,.172,88.8,15.1,7.2,39.0,63.8,20.9,75.6,45.3,22.7,
Gonzalez, Carlos,2018,33,463,504,.190,.137,89.4,8.9,6.2,39.2,72.9,32.0,80.1,29.7,25.8,
Alonso, Yonder,2018,31,516,574,.171,.191,87.7,15.6,10.1,37.5,73.0,30.4,85.3,39.7,21.9,
Smoak, Justin,2018,32,505,594,.216,.211,89.5,14.9,10.8,41.9,61.6,22.3,79.2,44.0,21.3,
Lowrie, Jed,2018,34,596,680,.181,.166,89.0,17.2,5.3,37.7,70.3,21.4,87.0,42.0,25.7,
Brantley, Michael,2018,31,570,631,.160,.145,89.9,9.5,3.7,38.0,65.3,23.5,70.7,38.7,22.1,
Gurriel, Yuli,2018,34,537,573,.138,.099,89.3,11.5,1.9,36.2,68.7,34.4,75.8,36.0,21.6,
Solarte, Yangervis,2018,31,468,506,.152,.135,87.0,13.9,4.5,32.0,76.3,37.6,83.8,34.8,23.8,
Rojas, Miguel,2018,29,488,528,.094,.082,84.1,8.9,0.9,23.8,64.7,32.3,69.7,30.3,27.9,
Escobar, Eduardo,2018,29,566,631,.217,.177,86.5,18.8,8.3,27.6,72.4,35.2,80.2,37.5,25.9,
Martinez, Jose,2018,30,534,590,.152,.209,90.7,8.0,9.4,44.1,63.6,26.1,73.9,26.2,33.1,
Davis, Khris,2018,31,576,654,.302,.317,92.5,18.1,17.2,47.8,76.0,23.2,88.8,34.8,24.8,
Pham, Tommy,2018,30,494,570,.188,.213,92.8,6.7,10.1,49.9,59.6,18.9,71.8,33.9,21.6,
Martinez, J.D.,2018,31,569,649,.299,.306,93.0,10.7,16.0,52.4,74.7,29.2,88.1,36.0,30.7,
Goldschmidt, Paul,2018,31,593,690,.243,.259,90.8,15.7,13.6,43.8,62.0,26.0,68.4,34.3,27.4,
Gonzalez, Marwin,2018,29,489,552,.162,.167,87.4,10.0,6.8,41.5,60.5,29.2,66.7,40.5,18.6,
Altuve, Jose,2018,28,534,599,.135,.159,86.3,9.5,5.9,33.8,67.8,30.0,75.2,34.0,20.7,
Hernandez, Cesar,2018,28,605,708,.109,.105,84.2,9.4,4.2,28.0,57.4,17.8,65.0,35.5,26.2,
Segura, Jean,2018,28,586,632,.111,.114,87.0,7.4,3.6,32.1,65.1,31.7,75.7,33.4,25.0,
Castro, Starlin,2018,28,593,647,.121,.142,88.5,8.4,6.9,36.2,64.9,27.4,72.0,35.4,20.8,
Marte, Starling,2018,30,559,606,.182,.184,87.5,8.2,7.5,38.3,75.0,33.3,81.4,37.4,24.9,
Dietrich, Derek,2018,29,499,551,.156,.143,87.4,15.7,6.1,37.8,70.5,31.7,81.1,39.9,24.9,
